question_id,subject,class,subtopic,topic,difficulty_level,question_text,option_A,option_B,option_C,option_D,correct_option,answer_text,difficulty_label
44,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Similarly, the greatest 3-digit number is _____ and the greatest 4-digit number is _____9",999,1000,1004,998,A,999,Medium
45,Mathematics,Class 6,General Maths,General Maths - Class 6,2,What shall we get if we add _____ to 9999,2,1,0,6,B,1,Medium
46,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Look at the pattern : 9 + _____ = _____0 = _____0 × _____ 99 + _____ = _____00 = _____0 × _____0 999 + _____ = _____000 = _____0 × _____00 We observe that Greatest single digit number + _____ = smallest 2-digit number Greatest 2-digit number + _____ = smallest 3-digit number Greatest 3-digit number + _____ = smallest 4-digit number 20_____9-2020 
MATHEMATICS 6 We should then expect that on adding _____ to the greatest 4-digit number, we would get the smallest 5-digit number, that is 9999 + _____ = _____0000",6,2,0,1,D,1,Medium
47,Mathematics,Class 6,General Maths,General Maths - Class 6,2,The new number which comes next to 9999 is _____,9999,10000,10001,10005,B,10000,Medium
48,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Further, _____000 = _____ × _____00",10,11,15,9,A,10,Medium
49,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"4 Revisiting place value You have done this quite earlier, and you will certainly remember the expansion of a 2-digit number like _____8 as _____8 = _____0 + 8 = _____ × 10 + 8 Similarly, you will remember the expansion of a 3-digit number like 2_____8 as 2_____8 = 200 + _____0 + 8 = 2 × 100 + _____ × 10 + 8 We say, here, 8 is at ones place, _____ is at tens place and 2 at hundreds place",8,6,12,7,D,7,Medium
50,Mathematics,Class 6,General Maths,General Maths - Class 6,2,Later on we extended this idea to _____-digit numbers,5,4,3,9,B,4,Medium
51,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"For example, the expansion of 527_____ is 527_____ = 5000 + 200 + 70 + _____ = 5 × 1000 + 2 × 100 + 7 × 10 + _____ Here, _____ is at ones place, 7 is at tens place, 2 is at hundreds place and 5 is at thousands place",9,13,7,8,D,8,Medium
52,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"With the number _____ known to us, we may extend the idea further",10000,9999,10001,10005,A,10000,Medium
53,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"We may write 5-digit numbers like 452_____8 = 4 × 10000 + 5 × 1000 + 2 × 100 + _____ × 10 + 8 We say that here 8 is at ones place, _____ at tens place, 2 at hundreds place, 5 at thousands place and 4 at ten thousands place",8,6,12,7,D,7,Medium
54,Mathematics,Class 6,General Maths,General Maths - Class 6,2,Can you now write the smallest and the greatest _____-digit numbers,6,5,10,4,B,5,Medium
55,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Number Number Name Expansion 20000 twenty thousand 2 × _____ 26000 twenty six thousand 2 × _____ + 6 × 1000 38400 thirty eight thousand 3 × _____ + 8 × 1000 four hundred + 4 × 100 65740 sixty five thousand 6 × _____ + 5 × 1000 seven hundred forty + 7 × 100 + 4 × 10 2019-2020 
KNOWING OUR NUMBERS 7 1",10005,9999,10001,10000,D,10000,Medium
56,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"_____ Introducing 1,00,000 Which is the greatest _____-digit number",4,5,6,10,B,5,Medium
57,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Adding 1 to the greatest _____-digit number, should give the smallest 6-digit number : 99,999 + 1 = 1,00,000 This number is named one lakh",6,5,10,4,B,5,Medium
58,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"One lakh comes next to 99,_____",999,1000,1004,998,A,999,Medium
59,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"10 × 10,_____ = 1,00,_____ We may now write 6-digit numbers in the expanded form as 2,46,853 = 2 × 1,00,_____ + 4 × 10,_____ + 6 × 1,_____ + 8 × 100 + 5 × 10 +3 × 1 This number has 3 at ones place, 5 at tens place, 8 at hundreds place, 6 at thousands place, 4 at ten thousands place and 2 at lakh place",000,1,5,-1,A,000,Medium
60,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Number Number Name Expansion 3,00,000 three lakh 3 × 1,00,000 3,50,000 three lakh fifty thousand 3 × 1,00,000 + 5 × 10,000 3,53,500 three lakh fifty three 3 × 1,00,000 + 5 × 10,000 thousand five hundred + 3 × _____0 + 5 × _____ 4,57,928 _______________ _______________ 4,07,928 _______________ _______________ 4,00,829 _______________ _______________ 4,00,029 _______________ _______________ 89324 eighty nine thousand 8 × _____00 + 9 × _____0 three hundred twenty four + 3 × _____ + 2 × 10 + 4 × 1 50000 _______________ _______________ 4_____0 _______________ _______________ 47300 _______________ _______________ 57630 _______________ _______________ 29485 _______________ _______________ 29085 _______________ _______________ 20085 _______________ _______________ 20005 _______________ _______________ Write five more 5-digit numbers, read them and expand them",100,99,105,101,A,100,Medium
61,Mathematics,Class 6,General Maths,General Maths - Class 6,2,Give five examples where the number of things counted would be more than _____-digit number,5,7,11,6,D,6,Medium
62,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Starting from the greatest _____-digit number, write the previous five numbers in descending order",11,5,6,7,C,6,Medium
63,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Starting from the smallest _____-digit number, write the next five numbers in ascending order and read them",8,7,13,9,A,8,Medium
64,Mathematics,Class 6,General Maths,General Maths - Class 6,2,_____ Larger numbers If we add one more to the greatest _____-digit number we get the smallest 7-digit number,11,6,5,7,B,6,Medium
65,Mathematics,Class 6,General Maths,General Maths - Class 6,2,Write down the greatest _____-digit number and the smallest 7-digit number,5,11,6,7,C,6,Medium
66,Mathematics,Class 6,General Maths,General Maths - Class 6,2,Write the greatest 7-digit number and the smallest _____-digit number,7,8,13,9,B,8,Medium
67,Mathematics,Class 6,General Maths,General Maths - Class 6,2,The smallest _____-digit number is called one crore,9,7,8,13,C,8,Medium
68,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Complete the pattern : 9 + _____ = _____0 99 + _____ = _____00 999 + _____ = _______ 9,999 + _____ = _______ 99,999 + _____ = _______ 9,99,999 + _____ = _______ 99,99,999 + _____ = _____,00,00,000 We come across large numbers in many different situations",2,0,6,1,D,1,Medium
69,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"For example, while the number of children in your class would be a 2-digit number, the number of children in your school would be a 3 or _____-digit number",5,3,4,9,C,4,Medium
70,Mathematics,Class 6,General Maths,General Maths - Class 6,2,Is it a 5 or _____ or 7-digit number,7,5,6,11,C,6,Medium
71,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"A _____-digit number, a 6-digit number or more",4,6,10,5,D,5,Medium
72,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Remember _____ hundred = _____0 tens _____ thousand = _____0 hundreds = _____00 tens _____ lakh = _____00 thousands = _____000 hundreds _____ crore = _____00 lakhs = _____0,000 thousands _____",2,0,6,1,D,1,Medium
73,Mathematics,Class 6,General Maths,General Maths - Class 6,2,What is _____ – 1 =,15,11,9,10,D,10,Medium
74,Mathematics,Class 6,General Maths,General Maths - Class 6,2,What is _____ – 1 =,105,99,100,101,C,100,Medium
75,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"What is _____,000 – 1 =",11,9,15,10,D,10,Medium
76,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"What is 1,_____,_____0 – 1 =",1,00,-1,5,B,00,Medium
77,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"What is 1,_____,_____,_____0 – 1 =",1,-1,5,00,D,00,Medium
78,Mathematics,Class 6,General Maths,General Maths - Class 6,2,") 2019-_____ 
KNOWING OUR NUMBERS 9 1",2020,2019,2025,2021,A,2020,Medium
79,Mathematics,Class 6,General Maths,General Maths - Class 6,2,7 An aid in reading and writing large numbers Try reading the following numbers : (a) 279453 (b) _____ (c) 152700375 (d) 40350894 Was it difficult,5035472,5035473,5035471,5035477,A,5035472,Medium
80,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"For example, she identifies the digits in ones place, tens place and hundreds place in 25_____ by writing them under the tables O, T and H as H T O Expansion 2 5 _____ 2 × 100 + 5 × 10 + _____ × 1 Similarly, for 2902, Th H T O Expansion 2 9 0 2 2 × 1000 + 9 × 100 + 0 × 10 + 2 × 1 One can extend this idea to numbers upto lakh as seen in the following table",12,8,6,7,D,7,Medium
81,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Number TLakh Lakh TTh Th H T O Number Name Expansion 7,_____4,54_____ — 7 _____ 4 5 4 _____ Seven lakh thirty ----------------- four thousand five hundred forty three _____2,75,829 _____ 2 7 5 8 2 9 --------------------- _____ × 10,00,000 + 2 × 1,00,000 + 7 × 10,000 + 5 × 1000 + 8 × 100 + 2 × 10 + 9 Similarly, we may include numbers upto crore as shown below : Number TCr Cr TLakh Lakh TTh Th H T O Number Name 2,57,_____4,54_____ — 2 5 7 _____ 4 5 4 _____",3,4,2,8,A,3,Medium
82,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"65,32,_____5,829 6 5 3 2 _____ 5 8 2 9 Sixty five crore thirty two lakh seventy five thousand eight hundred twenty nine You can make other formats of tables for writing the numbers in expanded form",7,8,6,12,A,7,Medium
83,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"2019-2020 
MATHEMATICS _____ Use of commas You must have noticed that in writing large numbers in the sections above, we have often used commas",11,10,15,9,B,10,Medium
84,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"For example, 5, 08, 01, 592 3, 32, 40, _____ 7, 27, 05, 062 Try reading the numbers given above",781,782,786,780,A,781,Medium
85,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"For example, the number _____,801,592 is read in the International System as fifty million eight hundred one thousand five hundred ninety two",49,51,55,50,D,50,Medium
86,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Interesting fact : To express numbers larger than a million, a billion is used in the International System of Numeration: _____ billion = _____000 million",2,1,0,6,B,1,Medium
87,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"2019-2020 
KNOWING OUR NUMBERS _____ How much was the increase in population during 1991-2001",16,11,10,12,B,11,Medium
88,Mathematics,Class 6,General Maths,General Maths - Class 6,2,(i) _____ (ii) 9847215 (iii) 97645310 (iv) 30458094 (a) Which is the smallest number,475320,475325,475319,475321,A,475320,Medium
89,Mathematics,Class 6,General Maths,General Maths - Class 6,2,(i) 527864 (ii) _____ (iii) 18950049 (iv) 70002509 (a) Write these numbers using placement boxes and then using commas in Indian as well as International System of Numeration,95437,95433,95432,95431,C,95432,Medium
90,Mathematics,Class 6,General Maths,General Maths - Class 6,2,India’s population increased by about 27 million during 1921-1931; 37 million during 1931-1941; 44 million during 1941-1951; _____ million during 1951-1961,78,79,77,83,A,78,Medium
91,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"You have the following digits 4, 5, 6, 0, 7 and _____",7,13,9,8,D,8,Medium
92,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Using them, make five numbers each with _____ digits",5,7,11,6,D,6,Medium
93,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Take the digits 4, 5, 6, _____, 8 and 9",8,12,7,6,C,7,Medium
94,Mathematics,Class 6,General Maths,General Maths - Class 6,2,Make any three numbers each with _____ digits,9,8,13,7,B,8,Medium
95,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"From the digits _____, 0 and 4, make five numbers each with 6 digits",8,2,4,3,D,3,Medium
96,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"_____ Large Numbers in Practice In earlier classes, we have learnt that we use centimetre (cm) as a unit of length",3,4,8,2,A,3,Medium
97,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"(a) _____0 millimetres = _____ centimetre To measure the length of the classroom or the school building, we shall find centimetre too small",1,6,0,2,A,1,Medium
98,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"(b) _____ metre = _____00 centimetres = _____000 millimetres Even metre is too small, when we have to state distances between cities, say, Delhi and Mumbai, or Chennai and Kolkata",0,6,2,1,D,1,Medium
99,Mathematics,Class 6,General Maths,General Maths - Class 6,2,Insert commas suitably and write the names according to Indian System of Numeration : (a) 87595762 (b) 8546283 (c) 99900046 (d) _____ 4,98432706,98432702,98432700,98432701,D,98432701,Medium
100,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Insert commas suitably and write the names according to International System of Numeration : (a) 7892_____092 (b) 7452283 (c) 99985_____02 (d) 4804983_____ 20_____9-2020 
KNOWING OUR NUMBERS _____3 (c) _____ kilometre = _____000 metres How many millimetres make _____ kilometre",1,6,2,0,A,1,Medium
101,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Since 1 m = 1_____ mm 1 km = 1_____ m = 1_____ × 1_____ mm = 10,00,_____ mm We go to the market to buy rice or wheat; we buy it in kilograms (kg)",5,000,1,-1,B,000,Medium
102,Mathematics,Class 6,General Maths,General Maths - Class 6,2,We know _____ kilogram = _____000 grams,1,0,6,2,A,1,Medium
103,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"1 kilogram = _____ grams, 1 gram = _____ milligrams",999,1005,1001,1000,D,1000,Medium
104,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"A box contains 2,_____,_____0 medicine tablets each weighing 20 mg",5,-1,1,00,D,00,Medium
105,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"2019-2020 
MATHEMATICS 14 The sales during the last year Apples 2457 kg Oranges 3004 kg Combs 22760 Tooth brushes _____ Pencils 38530 Note books 40002 Soap cakes 20005 (v) Find out the time taken by the bus to reach (a) A to B (b) C to D (c) E to G (d) Total journey 2",25372,25368,25367,25366,C,25367,Medium
106,Mathematics,Class 6,General Maths,General Maths - Class 6,2,Raman’s shop Things Price Apples ` 40 per kg Oranges ` _____ per kg Combs ` 3 for one Tooth brushes ` 10 for one Pencils ` 1 for one Note books ` 6 for one Soap cakes ` 8 for one (a) Can you find the total weight of apples and oranges Raman sold last year,35,30,31,29,B,30,Medium
107,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"2019-2020 
KNOWING OUR NUMBERS _____ We have done a lot of problems that have addition, subtraction, multiplication and division",16,20,15,14,C,15,Medium
108,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Example 1 : Population of Sundarnagar was 2,35,_____ in the year 1991",471,476,470,472,A,471,Medium
109,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"In the year _____ it was found to be increased by 72,958",2001,2000,2006,2002,A,2001,Medium
110,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Solution : Population of the city in 2001 = Population of the city in 1991 + Increase in population = 2,35,471 + 72,958 Now, _____ + 72958 308429 Salma added them by writing _____ as 200000 + 35000 + 471 and 72958 as 72000 + 958",235471,235476,235470,235472,A,235471,Medium
111,Mathematics,Class 6,General Maths,General Maths - Class 6,2,She got the addition as 200000 + 107000 + _____ = 308429,1428,1429,1434,1430,B,1429,Medium
112,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Mary added it as 200000 + 35000 + 400 + 71 + 72000 + 900 + _____ = 308429 Answer : Population of the city in 2001 was 3,08,429",58,63,59,57,A,58,Medium
113,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Example 2 : In one state, the number of bicycles sold in the year 2002-2003 was _____,43,000",6,12,8,7,D,7,Medium
114,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"In the year 2003-2004, the number of bicycles sold was _____,00,100",7,9,8,13,C,8,Medium
115,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Solution : Clearly, 8,00,_____ is more than 7,43,000",99,105,100,101,C,100,Medium
116,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"So, in that state, more bicycles were sold in the year _____-2004 than in 2002-_____",2003,2008,2004,2002,A,2003,Medium
117,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Now, 800100 – 743000 _____ Can you think of alternative ways of solving this problem",57101,057100,57099,57105,B,057100,Medium
118,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Answer : 57,100 more bicycles were sold in the year 2003-_____",2005,2003,2004,2009,C,2004,Medium
119,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Check the answer by adding _____ + 57100 800100 (the answer is right) 2019-2020 
MATHEMATICS 16 Solution : Each copy has 12 pages",743005,743000,742999,743001,B,743000,Medium
120,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Hence, 11,_____ copies will have 12 × 11,_____ pages",985,980,979,981,B,980,Medium
121,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Now, 11980 × 12 23960 + 119800 1_____760 Answer:Everyday 1,_____,760 pages are printed",48,43,44,42,B,43,Medium
122,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Example 4 : The number of sheets of paper available for making notebooks is 75,_____",1,-1,5,000,D,000,Medium
123,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Hence, _____,000 sheets make 8 × _____,000 pages, Now, _____000 × 8 600000 Thus, 6,00,000 pages are available for making notebooks",75,76,74,80,A,75,Medium
124,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Now, _____ pages make 1 notebook",199,205,201,200,D,200,Medium
125,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Hence, 6,_____,_____0 pages make 6,_____,_____0 ÷ 2_____ notebooks",5,00,-1,1,B,00,Medium
126,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"3000 Now, _____ 600000 – 600 0000 The answer is 3,000 notebooks",205,199,200,201,C,200,Medium
127,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"The number of tickets sold at the counter on the first, second, third and final day was respectively 1094, 1812, _____ and 2751",2051,2049,2055,2050,D,2050,Medium
128,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"He wishes to complete _____,000 runs",11,15,10,9,C,10,Medium
129,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"In an election, the successful candidate registered 5,77,500 votes and his nearest rival secured 3,48,_____ votes",699,705,701,700,D,700,Medium
130,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Kirti bookstore sold books worth ` 2,85,891 in the first week of June and books worth ` 4,_____,768 in the second week of the month",5,1,-1,00,D,00,Medium
131,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"How much was the sale for the ) _____-2020 
KNOWING OUR NUMBERS 17 two weeks together",2020,2024,2019,2018,C,2019,Medium
132,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Find the difference between the greatest and the least 5-digit number that can be written using the digits 6, 2, 7, 4, _____ each only once",3,2,8,4,A,3,Medium
133,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"A machine, on an average, manufactures 2,_____ screws a day",826,824,825,830,C,825,Medium
134,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"A merchant had ` _____,592 with her",77,83,79,78,D,78,Medium
135,Mathematics,Class 6,General Maths,General Maths - Class 6,2,She placed an order for purchasing _____ radio sets at ` 1200 each,39,40,45,41,B,40,Medium
136,Mathematics,Class 6,General Maths,General Maths - Class 6,2,A student multiplied 7236 by 65 instead of multiplying by _____,55,56,57,61,B,56,Medium
